timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
479691651,479690486,31044075,49.078753500000005,2.2543773,-0.9197629,-2.1374338,2.2111626,-0.0069100135,-0.00015225113,0.25713933,-0.007993074,-0.001034545,0.022704847,0.025334066,-0.036898524,0.010050106,0.041895274,-0.06594253,0.28246436,-0.15497789,-0.5320022,0.01776818,99.7061,0.1,0.3524163,0.3908908,0.1400889,0.10446776,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479702256,479700491,31044075,49.078753500000005,2.2543773,-0.9196816,-2.137557,2.2114823,-0.0069100135,-0.00015225113,0.25713933,-0.006088205,-0.00071078364,0.024812452,0.027502779,-0.036898524,0.010050106,0.041895274,0.70129806,0.37640038,0.596251,-0.531726,0.01776818,99.7061,0.1,0.35324305,0.39156058,0.14053524,0.10465574,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479711627,479710499,31044075,49.078753500000005,2.2543773,-0.9195914,-2.1376846,2.2118394,-0.0069100135,-0.00015225113,0.25713933,-0.0069597582,-0.0010334025,0.023111898,0.025859505,-0.036898524,0.010050106,0.041895274,0.21154761,0.8237796,-1.3199204,-0.53139955,0.01776818,99.7061,0.1,0.35407466,0.39223257,0.14098126,0.104843736,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479722156,479720506,31044075,49.078753500000005,2.2543773,-0.9195038,-2.1377897,2.2121289,-0.0069100135,-0.00015225113,0.25713933,-0.007636372,-0.0032419467,0.02023723,0.023022253,-0.036898524,0.010050106,0.041895274,-0.04065728,-0.43219247,-0.3911579,-0.5313219,0.01776818,99.7061,0.1,0.3549111,0.39045417,0.14142917,0.104761146,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479731730,479730513,31044075,49.078753500000005,2.2543773,-0.9194018,-2.1379085,2.2124543,-0.0069100135,-0.00015225113,0.25713933,-0.004370255,-0.0046343557,0.030828929,0.03364855,-0.036898524,0.010050106,0.041895274,0.22983743,-0.20745285,0.9499756,-0.5311796,0.01776818,99.7061,0.1,0.35575238,0.39112633,0.141873,0.10494961,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479741614,479740521,31044075,49.078753500000005,2.2543773,-0.9193212,-2.1380336,2.2127748,-0.0069100135,-0.00015225113,0.25713933,-0.008762928,-0.003605531,0.022289257,0.025140738,-0.036898524,0.010050106,0.041895274,0.018233065,0.51616377,-0.43725935,-0.5311936,0.01776818,99.7061,0.1,0.3565986,0.3918007,0.14232703,0.10513759,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479751936,479750529,31044075,49.078753500000005,2.2543773,-0.9192199,-2.138153,2.213095,-0.0069100135,-0.00015225113,0.25713933,-0.0071440707,-0.007166561,0.028015634,0.03089635,-0.036898524,0.010050106,0.041895274,-0.8186593,-0.37122434,0.35720924,-0.5312732,0.01776818,99.7061,0.1,0.35744968,0.39247724,0.14277677,0.10532601,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479761619,479760536,31044075,49.078753500000005,2.2543773,-0.919111,-2.1382616,2.213433,-0.0069100135,-0.00015225113,0.25713933,-0.0067958715,-0.0022067428,0.023783842,0.026691249,-0.036898524,0.010050106,0.041895274,-0.9149164,0.59113646,-1.1351777,-0.531432,0.01776818,99.7061,0.1,0.35830566,0.393156,0.14321274,0.10551461,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479772255,479770544,31044075,49.078753500000005,2.2543773,-0.91899693,-2.1383705,2.2136087,-0.0069100135,-0.00015225113,0.25713933,-0.00077597616,-0.0040785316,0.026571505,0.029369408,-0.036898524,0.010050106,0.041895274,0.6528461,0.8195492,0.4096879,-0.5315515,0.01776818,99.7061,0.1,0.35916656,0.39136705,0.14367795,0.10542708,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
479781655,479780553,31044075,49.078753500000005,2.2543773,-0.9188702,-2.1384742,2.2138014,-0.0069100135,-0.00015225113,0.25713933,-0.0046142396,0.00050382613,0.022836737,0.025528679,-0.036898524,0.010050106,0.041895274,-0.4565454,2.0405965,-0.9929341,-0.53178763,0.01776818,99.7061,0.1,0.36003244,0.39204597,0.14412521,0.10561585,inf,inf,inf,inf,1,1,1,1,3,1,3,2,4,1,1,1,0
