timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
236411143,inf,0,1,1,1,0,0,1,0,0,1
237411434,inf,0,1,1,1,0,0,1,0,0,1
238413572,inf,0,1,1,1,0,0,1,0,0,1
239414613,inf,0,1,1,1,0,0,1,0,0,1
240424606,inf,0,1,1,1,0,0,1,0,0,1
241424792,inf,0,1,1,1,0,0,1,0,0,1
242425071,inf,0,1,1,1,0,0,1,0,0,1
243434664,inf,0,1,1,1,0,0,1,0,0,1
244434995,inf,0,1,1,1,0,0,1,0,0,1
245435500,inf,0,1,1,1,0,0,1,0,0,1
246435847,inf,0,1,1,1,0,0,1,0,0,1
248436611,inf,0,1,1,1,0,0,1,0,0,1
249436730,inf,0,1,1,1,0,0,1,0,0,1
250437030,inf,0,1,1,1,0,0,1,0,0,1
251437407,inf,0,1,1,1,0,0,1,0,0,1
252437716,inf,0,1,1,1,0,0,1,0,0,1
253438263,inf,0,1,1,1,0,0,1,0,0,1
254438505,inf,0,1,1,1,0,0,1,0,0,1
255440205,inf,0,1,1,1,0,0,1,0,0,1
256440462,inf,0,1,1,1,0,0,1,0,0,1
257440536,inf,0,1,1,1,0,0,1,0,0,1
258441042,inf,0,1,1,1,0,0,1,0,0,1
259441349,inf,0,1,1,1,0,0,1,0,0,1
260441600,inf,0,1,1,1,0,0,1,0,0,1
261442111,inf,0,1,1,1,0,0,1,0,0,1
262442526,inf,0,1,1,1,0,0,1,0,0,1
263442979,inf,0,1,1,1,0,0,1,0,0,1
264453065,inf,0,1,1,1,0,0,1,0,0,1
265453538,inf,0,1,1,1,0,0,1,0,0,1
266453826,inf,0,1,1,1,0,0,1,0,0,1
267455390,inf,0,1,1,1,0,0,1,0,0,1
268456983,inf,0,1,1,1,0,0,1,0,0,1
269457234,inf,0,1,1,1,0,0,1,0,0,1
270457400,inf,0,1,1,1,0,0,1,0,0,1
272458257,inf,0,1,1,1,0,0,1,0,0,1
273459932,inf,0,1,1,1,0,0,1,0,0,1
274460236,inf,0,1,1,1,0,0,1,0,0,1
275461975,inf,0,1,1,1,0,0,1,0,0,1
276462546,inf,0,1,1,1,0,0,1,0,0,1
277472440,inf,0,1,1,1,0,0,1,0,0,1
278474131,inf,0,1,1,1,0,0,1,0,0,1
279475696,inf,0,1,1,1,0,0,1,0,0,1
280475999,inf,0,1,1,1,0,0,1,0,0,1
281476385,inf,0,1,1,1,0,0,1,0,0,1
282476767,inf,0,1,1,1,0,0,1,0,0,1
283477207,inf,0,1,1,1,0,0,1,0,0,1
284477729,inf,0,1,1,1,0,0,1,0,0,1
285478064,inf,0,1,1,1,0,0,1,0,0,1
286478838,inf,0,1,1,1,0,0,1,0,0,1
287479293,inf,0,1,1,1,0,0,1,0,0,1
288480333,inf,0,1,1,1,0,0,1,0,0,1
289482164,inf,0,1,1,1,0,0,1,0,0,1
290491991,inf,0,1,1,1,0,0,1,0,0,1
291492104,inf,0,1,1,1,0,0,1,0,0,1
292493236,inf,0,1,1,1,0,0,1,0,0,1
293493448,inf,0,1,1,1,0,0,1,0,0,1
294503081,inf,0,1,1,1,0,0,1,0,0,1
295504724,inf,0,1,1,1,0,0,1,0,0,1
296506329,inf,0,1,1,1,0,0,1,0,0,1
297506550,inf,0,1,1,1,0,0,1,0,0,1
298507020,inf,0,1,1,1,0,0,1,0,0,1
299507250,inf,0,1,1,1,0,0,1,0,0,1
300507485,inf,0,1,1,1,0,0,1,0,0,1
301509115,inf,0,1,1,1,0,0,1,0,0,1
302511105,inf,0,1,1,1,0,0,1,0,0,1
303521402,inf,0,1,1,1,0,0,1,0,0,1
304531483,inf,0,1,1,1,0,0,1,0,0,1
305531753,inf,0,1,1,1,0,0,1,0,0,1
306532359,inf,0,1,1,1,0,0,1,0,0,1
307533788,inf,0,1,1,1,0,0,1,0,0,1
308535152,inf,0,1,1,1,0,0,1,0,0,1
309535542,inf,0,1,1,1,0,0,1,0,0,1
310537185,inf,0,1,1,1,0,0,1,0,0,1
311538656,inf,0,1,1,1,0,0,1,0,0,1
312540312,inf,0,1,1,1,0,0,1,0,0,1
313540776,inf,0,1,1,1,0,0,1,0,0,1
314542444,inf,0,1,1,1,0,0,1,0,0,1
315543941,inf,0,1,1,1,0,0,1,0,0,1
316544319,inf,0,1,1,1,0,0,1,0,0,1
317544809,inf,0,1,1,1,0,0,1,0,0,1
318545171,inf,0,1,1,1,0,0,1,0,0,1
319545654,inf,0,1,1,1,0,0,1,0,0,1
320546451,inf,0,1,1,1,0,0,1,0,0,1
321546806,inf,0,1,1,1,0,0,1,0,0,1
322556343,inf,0,1,1,1,0,0,1,0,0,1
323556834,inf,0,1,1,1,0,0,1,0,0,1
324568005,inf,0,1,1,1,0,0,1,1,0,1
325568316,inf,0,1,1,1,0,0,1,0,0,1
326569036,inf,0,1,1,1,0,0,1,0,0,1
