Time (ms),humidity (%),temperature (C*)
46427,65.00,21.40,
46510,65.00,21.40,
46593,65.00,21.40,
46676,65.00,21.40,
46759,65.00,21.40,
46842,65.00,21.40,
46925,65.00,21.40,
47009,65.00,21.40,
47092,65.00,21.40,
47175,65.00,21.40,
47258,65.00,21.40,
47342,65.00,21.40,
47425,65.00,21.40,
47508,65.00,21.40,
47591,65.00,21.40,
47675,65.00,21.40,
47758,65.00,21.40,
47841,65.00,21.40,
47924,65.00,21.40,
48008,65.00,21.40,
48091,64.00,21.40,
48174,64.00,21.40,
48257,64.00,21.40,
48339,64.00,21.40,
48422,64.00,21.40,
48506,64.00,21.40,
48589,64.00,21.40,
48672,64.00,21.40,
48755,64.00,21.40,
48839,64.00,21.40,
48922,64.00,21.40,
49005,64.00,21.40,
49088,64.00,21.40,
49172,64.00,21.40,
49255,64.00,21.40,
49338,64.00,21.40,
49421,64.00,21.40,
49505,64.00,21.40,
49588,64.00,21.40,
49671,64.00,21.40,
49754,64.00,21.40,
49838,64.00,21.40,
49921,64.00,21.40,
50003,64.00,21.40,
50086,64.00,21.40,
50170,63.00,21.40,
50253,63.00,21.40,
50336,63.00,21.40,
50419,63.00,21.40,
50502,63.00,21.40,
50586,63.00,21.40,
50669,63.00,21.40,
50752,63.00,21.40,
50835,63.00,21.40,
50919,63.00,21.40,
51002,63.00,21.40,
51085,63.00,21.40,
51168,63.00,21.40,
51252,63.00,21.40,
51335,63.00,21.40,
51418,63.00,21.40,
51501,63.00,21.40,
51585,63.00,21.40,
51667,63.00,21.40,
51750,63.00,21.40,
51833,63.00,21.40,
51917,63.00,21.40,
52000,63.00,21.40,
52083,63.00,21.40,
52166,63.00,21.40,
52250,62.00,21.50,
52333,62.00,21.50,
52416,62.00,21.50,
52499,62.00,21.50,
52582,62.00,21.50,
52670,62.00,21.50,
52749,62.00,21.50,
52832,62.00,21.50,
52915,62.00,21.50,
52999,62.00,21.50,
53082,62.00,21.50,
53165,62.00,21.50,
53248,62.00,21.50,
53331,62.00,21.50,
53414,62.00,21.50,
53497,62.00,21.50,
53580,62.00,21.50,
53664,62.00,21.50,
53747,62.00,21.50,
53830,62.00,21.50,
53913,62.00,21.50,
53997,62.00,21.50,
54080,62.00,21.50,
54163,62.00,21.50,
54246,62.00,21.50,
54330,62.00,21.60,
54413,62.00,21.60,
54496,62.00,21.60,
54579,62.00,21.60,
54662,62.00,21.60,
54746,62.00,21.60,
54829,62.00,21.60,
54912,62.00,21.60,
54994,62.00,21.60,
55078,62.00,21.60,
55161,62.00,21.60,
55244,62.00,21.60,
55327,62.00,21.60,
55411,62.00,21.60,
55494,62.00,21.60,
55577,62.00,21.60,
55660,62.00,21.60,
55744,62.00,21.60,
55827,62.00,21.60,
55910,62.00,21.60,
55993,62.00,21.60,
56077,62.00,21.60,
56160,62.00,21.60,
56243,62.00,21.60,
56326,62.00,21.60,
56410,61.00,21.60,
56493,61.00,21.60,
56576,61.00,21.60,
56658,61.00,21.60,
56741,61.00,21.60,
56825,61.00,21.60,
56908,61.00,21.60,
56991,61.00,21.60,
57074,61.00,21.60,
57158,61.00,21.60,
57241,61.00,21.60,
57324,61.00,21.60,
57407,61.00,21.60,
57491,61.00,21.60,
57574,61.00,21.60,
57657,61.00,21.60,
57740,61.00,21.60,
57824,61.00,21.60,
57907,61.00,21.60,
57990,61.00,21.60,
58073,61.00,21.60,
58157,61.00,21.60,
58240,61.00,21.60,
58322,61.00,21.60,
58405,61.00,21.60,
58489,61.00,21.60,
58572,61.00,21.60,
58655,61.00,21.60,
58738,61.00,21.60,
58821,61.00,21.60,
58905,61.00,21.60,
58988,61.00,21.60,
59071,61.00,21.60,
59154,61.00,21.60,
