timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
5898628,5897703,396809,-0.15075757,-0.12424242,0.44469696,nan,0,1
5920293,5919364,396809,-0.15227272,-0.12499999,0.4371212,nan,0,1
5941528,5940602,396809,-0.15227272,-0.12424242,0.44242424,nan,0,1
5962768,5961840,396809,-0.15151514,-0.12499999,0.4492424,nan,0,1
5984001,5983076,396809,-0.15303029,-0.12499999,0.4409091,nan,0,1
6005250,6004322,396809,-0.15075757,-0.12575758,0.4409091,nan,0,1
6026991,6025955,396809,-0.15454546,-0.12499999,0.4439394,nan,0,1
6048221,6047296,396809,-0.15151514,-0.12499999,0.43939394,nan,0,1
6069463,6068538,396809,-0.15378788,-0.12348484,0.44772726,nan,0,1
6090699,6089774,396809,-0.15378788,-0.12575758,0.4462121,nan,0,1
6111932,6111007,396809,-0.15151514,-0.12575758,0.4462121,nan,0,1
6133778,6132806,396809,-0.15378788,-0.12424242,0.4462121,nan,0,1
6155040,6154089,396809,-0.15151514,-0.12424242,0.44772726,nan,0,1
6176286,6175348,396809,-0.15227272,-0.12348484,0.44772726,nan,0,1
6197519,6196594,396809,-0.15075757,-0.12424242,0.44469696,nan,0,1
6218775,6217828,396809,-0.15151514,-0.12348484,0.44469696,nan,0,1
6240418,6239482,396809,-0.14924242,-0.12424242,0.4462121,nan,0,1
6261782,6260856,396809,-0.15227272,-0.12651515,0.4462121,nan,0,1
6283040,6282116,396809,-0.14999999,-0.12499999,0.4409091,nan,0,1
6304380,6303354,396809,-0.15151514,-0.12499999,0.44772726,nan,0,1
6325623,6324697,396809,-0.15075757,-0.12727273,0.4462121,nan,0,1
6347259,6346333,396809,-0.14999999,-0.12575758,0.45,nan,0,1
6368492,6367565,396809,-0.14924242,-0.12575758,0.44772726,nan,0,1
6389739,6388805,396809,-0.15075757,-0.12499999,0.44469696,nan,0,1
6410986,6410061,396809,-0.14924242,-0.12424242,0.4462121,nan,0,1
6432247,6431297,396809,-0.14924242,-0.12575758,0.43939394,nan,0,1
6453879,6452953,396809,-0.14999999,-0.12575758,0.44469696,nan,0,1
6475112,6474186,396809,-0.15075757,-0.12499999,0.4462121,nan,0,1
6496346,6495420,396809,-0.15075757,-0.12651515,0.4439394,nan,0,1
6517623,6516698,396809,-0.15151514,-0.12424242,0.44469696,nan,0,1
6538885,6537960,396809,-0.15151514,-0.12575758,0.4439394,nan,0,1
6560632,6559599,396809,-0.14848484,-0.12651515,0.4439394,nan,0,1
6581881,6580948,396809,-0.14621212,-0.12575758,0.4439394,nan,0,1
6603119,6602194,396809,-0.14772727,-0.12499999,0.43939394,nan,0,1
6624360,6623435,396809,-0.14999999,-0.12424242,0.4409091,nan,0,1
6645602,6644671,396809,-0.15075757,-0.12424242,0.44242424,nan,0,1
6667232,6666305,396809,-0.14848484,-0.12651515,0.4462121,nan,0,1
6688496,6687544,396809,-0.14772727,-0.12575758,0.44242424,nan,0,1
6709731,6708803,396809,-0.14924242,-0.12575758,0.4462121,nan,0,1
6731083,6730037,396809,-0.14848484,-0.12727273,0.4439394,nan,0,1
6752322,6751396,396809,-0.14772727,-0.12575758,0.4409091,nan,0,1
6773952,6773027,396809,-0.14924242,-0.12651515,0.4409091,nan,0,1
6795424,6794498,396809,-0.14924242,-0.12424242,0.44469696,nan,0,1
6816685,6815760,396809,-0.14848484,-0.12499999,0.44242424,nan,0,1
6838035,6836996,396809,-0.14848484,-0.12348484,0.44242424,nan,0,1
6859265,6858339,396809,-0.14696969,-0.12575758,0.4439394,nan,0,1
6880909,6879983,396809,-0.14772727,-0.12499999,0.44242424,nan,0,1
