Time (ms),humidity (%),temperature (C*)
407928,52.00,21.50,
408013,52.00,21.50,
408097,52.00,21.50,
408181,52.00,21.50,
408266,52.00,21.50,
408350,52.00,21.50,
408434,52.00,21.50,
408518,52.00,21.50,
408603,52.00,21.50,
408687,52.00,21.50,
408773,52.00,21.50,
408855,52.00,21.50,
408940,52.00,21.50,
409024,52.00,21.50,
409108,52.00,21.50,
409192,52.00,21.50,
409277,52.00,21.50,
409361,52.00,21.50,
409445,52.00,21.50,
409530,52.00,21.50,
409614,52.00,21.50,
409698,52.00,21.50,
409782,52.00,21.50,
409867,53.00,21.70,
409951,53.00,21.70,
410035,53.00,21.70,
410119,53.00,21.70,
410203,53.00,21.70,
410288,53.00,21.70,
410372,53.00,21.70,
410456,53.00,21.70,
410540,53.00,21.70,
410625,53.00,21.70,
410708,53.00,21.70,
410792,53.00,21.70,
410877,53.00,21.70,
410961,53.00,21.70,
411045,53.00,21.70,
411129,53.00,21.70,
411214,53.00,21.70,
411298,53.00,21.70,
411382,53.00,21.70,
411466,53.00,21.70,
411551,53.00,21.70,
411635,53.00,21.70,
411719,53.00,21.70,
411803,53.00,21.70,
411888,53.00,21.80,
411972,53.00,21.80,
412056,53.00,21.80,
412140,53.00,21.80,
412224,53.00,21.80,
412309,53.00,21.80,
412393,53.00,21.80,
412477,53.00,21.80,
412561,53.00,21.80,
412646,53.00,21.80,
412730,53.00,21.80,
412814,53.00,21.80,
412899,53.00,21.80,
412983,53.00,21.80,
413067,53.00,21.80,
413151,53.00,21.80,
413236,53.00,21.80,
413320,53.00,21.80,
413404,53.00,21.80,
413488,53.00,21.80,
413573,53.00,21.80,
413657,53.00,21.80,
413741,53.00,21.80,
413825,53.00,21.80,
413910,52.00,21.90,
413993,52.00,21.90,
414077,52.00,21.90,
414172,52.00,21.90,
414245,52.00,21.90,
414330,52.00,21.90,
414414,52.00,21.90,
414498,52.00,21.90,
414582,52.00,21.90,
414667,52.00,21.90,
414751,52.00,21.90,
414835,52.00,21.90,
414920,52.00,21.90,
415004,52.00,21.90,
415088,52.00,21.90,
415172,52.00,21.90,
415257,52.00,21.90,
415341,52.00,21.90,
415425,52.00,21.90,
415509,52.00,21.90,
415594,52.00,21.90,
415678,52.00,21.90,
415762,52.00,21.90,
415846,52.00,21.90,
415931,55.00,22.00,
416015,55.00,22.00,
416099,55.00,22.00,
416183,55.00,22.00,
416268,55.00,22.00,
416352,55.00,22.00,
416436,55.00,22.00,
416520,55.00,22.00,
416605,55.00,22.00,
416689,55.00,22.00,
416773,55.00,22.00,
416857,55.00,22.00,
416942,55.00,22.00,
417026,55.00,22.00,
417110,55.00,22.00,
417193,55.00,22.00,
417278,55.00,22.00,
417362,55.00,22.00,
417446,55.00,22.00,
417530,55.00,22.00,
417615,55.00,22.00,
417699,55.00,22.00,
417783,55.00,22.00,
417868,55.00,22.00,
417952,54.00,22.20,
418036,54.00,22.20,
418120,54.00,22.20,
418204,54.00,22.20,
418289,54.00,22.20,
418373,54.00,22.20,
418457,54.00,22.20,
418541,54.00,22.20,
418626,54.00,22.20,
418710,54.00,22.20,
418794,54.00,22.20,
418878,54.00,22.20,
418963,54.00,22.20,
419047,54.00,22.20,
419131,54.00,22.20,
419215,54.00,22.20,
419300,54.00,22.20,
419384,54.00,22.20,
419468,54.00,22.20,
419553,54.00,22.20,
419637,54.00,22.20,
419721,54.00,22.20,
419805,54.00,22.20,
419890,54.00,22.20,
419974,54.00,22.40,
420058,54.00,22.40,
420142,54.00,22.40,
420226,54.00,22.40,
420311,54.00,22.40,
420395,54.00,22.40,
420478,54.00,22.40,
420562,54.00,22.40,
420647,54.00,22.40,
420731,54.00,22.40,
420815,54.00,22.40,
420899,54.00,22.40,
420984,54.00,22.40,
421068,54.00,22.40,
421152,54.00,22.40,
421236,54.00,22.40,
421321,54.00,22.40,
421405,54.00,22.40,
421489,54.00,22.40,
421574,54.00,22.40,
421658,54.00,22.40,
421742,54.00,22.40,
421826,54.00,22.40,
421911,54.00,22.40,
421995,53.00,22.00,
422079,53.00,22.00,
422163,53.00,22.00,
422247,53.00,22.00,
422332,53.00,22.00,
422416,53.00,22.00,
422500,53.00,22.00,
422584,53.00,22.00,
422669,53.00,22.00,
422753,53.00,22.00,
422837,53.00,22.00,
422921,53.00,22.00,
423006,53.00,22.00,
423090,53.00,22.00,
423174,53.00,22.00,
423258,53.00,22.00,
423343,53.00,22.00,
423427,53.00,22.00,
423511,53.00,22.00,
423596,53.00,22.00,
423680,53.00,22.00,
423774,53.00,22.00,
423847,53.00,22.00,
423932,53.00,22.00,
424016,52.00,22.10,
424100,52.00,22.10,
424184,52.00,22.10,
424268,52.00,22.10,
424353,52.00,22.10,
424437,52.00,22.10,
424521,52.00,22.10,
424605,52.00,22.10,
424690,52.00,22.10,
424774,52.00,22.10,
424858,52.00,22.10,
424942,52.00,22.10,
425027,52.00,22.10,
425111,52.00,22.10,
425195,52.00,22.10,
425279,52.00,22.10,
425364,52.00,22.10,
425448,52.00,22.10,
425532,52.00,22.10,
425617,52.00,22.10,
425701,52.00,22.10,
425785,52.00,22.10,
425869,52.00,22.10,
425954,52.00,22.10,
426038,52.00,22.00,
426122,52.00,22.00,
426206,52.00,22.00,
426290,52.00,22.00,
426374,52.00,22.00,
426459,52.00,22.00,
426543,52.00,22.00,
426627,52.00,22.00,
426712,52.00,22.00,
426796,52.00,22.00,
426880,52.00,22.00,
426963,52.00,22.00,
427048,52.00,22.00,
427132,52.00,22.00,
427216,52.00,22.00,
427300,52.00,22.00,
427385,52.00,22.00,
427469,52.00,22.00,
427553,52.00,22.00,
427637,52.00,22.00,
427722,52.00,22.00,
427806,52.00,22.00,
427890,52.00,22.00,
427975,52.00,22.00,
428059,52.00,22.10,
428143,52.00,22.10,
428227,52.00,22.10,
428311,52.00,22.10,
428396,52.00,22.10,
428480,52.00,22.10,
428564,52.00,22.10,
428648,52.00,22.10,
428733,52.00,22.10,
428817,52.00,22.10,
428901,52.00,22.10,
428985,52.00,22.10,
429070,52.00,22.10,
429154,52.00,22.10,
429238,52.00,22.10,
429322,52.00,22.10,
429407,52.00,22.10,
429491,52.00,22.10,
429575,52.00,22.10,
429662,52.00,22.10,
429744,52.00,22.10,
429828,52.00,22.10,
429912,52.00,22.10,
429997,52.00,22.10,
430081,51.00,22.10,
430164,51.00,22.10,
430248,51.00,22.10,
430332,51.00,22.10,
430417,51.00,22.10,
430501,51.00,22.10,
430585,51.00,22.10,
430669,51.00,22.10,
430754,51.00,22.10,
430838,51.00,22.10,
430922,51.00,22.10,
431006,51.00,22.10,
431091,51.00,22.10,
431175,51.00,22.10,
431259,51.00,22.10,
431343,51.00,22.10,
431428,51.00,22.10,
431512,51.00,22.10,
431596,51.00,22.10,
431681,51.00,22.10,
431765,51.00,22.10,
431849,51.00,22.10,
431933,51.00,22.10,
432018,51.00,22.10,
432102,51.00,22.40,
432186,51.00,22.40,
432270,51.00,22.40,
432354,51.00,22.40,
432439,51.00,22.40,
432523,51.00,22.40,
432607,51.00,22.40,
432691,51.00,22.40,
432776,51.00,22.40,
432860,51.00,22.40,
432944,51.00,22.40,
433028,51.00,22.40,
433113,51.00,22.40,
433197,51.00,22.40,
433291,51.00,22.40,
433366,51.00,22.40,
433449,51.00,22.40,
433533,51.00,22.40,
433617,51.00,22.40,
433702,51.00,22.40,
433786,51.00,22.40,
433870,51.00,22.40,
433954,51.00,22.40,
434039,51.00,22.40,
434123,50.00,22.30,
434208,50.00,22.30,
434292,50.00,22.30,
434376,50.00,22.30,
434461,50.00,22.30,
434545,50.00,22.30,
