timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
466804711,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043815915,0.0014201957,3.2390863e-06,-0.019466547,1.0715548,-9.514663,0.0040265135,-0.31782106,0.5050391,35.673176,35.673176
466904753,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.045796204,0.0014469416,3.5545402e-06,0.24868047,0.6614962,-9.6724615,0.31147608,-0.19414572,0.5676609,35.67318,35.67318
467004815,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.044719823,0.0014102156,3.5910084e-06,0.098771006,0.5978143,-9.924978,0.28312877,0.12417792,0.5908176,35.67318,35.67318
467109808,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.043205723,0.0014258497,3.827012e-06,-0.16048269,1.0420963,-10.147775,0.21530387,0.36434737,0.6154131,35.752502,35.752502
467213568,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.040128622,0.0014638256,4.0322852e-06,0.16642262,0.71058315,-9.746049,-0.030100303,0.3688629,0.6066389,35.869057,35.869057
467318579,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04091767,0.0014487016,4.0885934e-06,0.22460134,0.6266124,-9.740819,-0.04256053,0.20096055,0.6051542,35.86906,35.86906
467418620,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04061826,0.0014357548,4.0929194e-06,0.19271846,0.8570038,-9.858094,0.18487935,-0.20104598,0.58453655,35.869057,35.869057
467520309,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04079917,0.0013784032,3.9677343e-06,0.39572003,0.487336,-9.930061,0.028042963,-0.31831425,0.545464,35.869057,35.869057
467625033,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.04052927,0.0013980716,3.9581537e-06,0.43354622,0.7432528,-9.73106,-0.27723378,-0.2719991,0.46751904,35.86906,35.86906
467729988,3932170,3932170,0,0,0,0,0,799.7062,799.7062,3998.5288,7997.0576,0.040380564,0.0013399227,3.6658425e-06,0.4236803,0.63131046,-9.860741,-0.09007575,-0.2026188,0.41827324,35.86906,35.86906
